Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Pakistan,169/6,20.0,8.45,1,won,,v South Africa,Lahore,11 Feb 2021,
South Africa,166/6,20.0,8.30,2,lost,,v Pakistan,Lahore,11 Feb 2021,
Pakistan,144/7,20.0,7.20,1,lost,,v South Africa,Lahore,13 Feb 2021,
South Africa,145/4,16.2,8.87,2,won,,v Pakistan,Lahore,13 Feb 2021,
South Africa,164/8,20.0,8.20,1,lost,,v Pakistan,Lahore,14 Feb 2021,
Pakistan,169/6,18.4,9.05,2,won,,v South Africa,Lahore,14 Feb 2021,
New Zealand,184/5,20.0,9.20,1,won,,v Australia,Christchurch,22 Feb 2021,
Australia,131,17.3,7.48,2,lost,,v New Zealand,Christchurch,22 Feb 2021,
New Zealand,219/7,20.0,10.95,1,won,,v Australia,Dunedin,25 Feb 2021,
Australia,215/8,20.0,10.75,2,lost,,v New Zealand,Dunedin,25 Feb 2021,
Australia,208/4,20.0,10.40,1,won,,v New Zealand,Wellington,3 Mar 2021,
New Zealand,144,17.1,8.38,2,lost,,v Australia,Wellington,3 Mar 2021,
Sri Lanka,131/9,20.0,6.55,1,lost,,v West Indies,Coolidge,3 Mar 2021,
West Indies,134/6,13.1,10.17,2,won,,v Sri Lanka,Coolidge,3 Mar 2021,
Australia,156/6,20.0,7.80,1,won,,v New Zealand,Wellington,5 Mar 2021,
New Zealand,106,18.5,5.62,2,lost,,v Australia,Wellington,5 Mar 2021,
Sri Lanka,160/6,20.0,8.00,1,won,,v West Indies,Coolidge,5 Mar 2021,
West Indies,117,18.4,6.26,2,lost,,v Sri Lanka,Coolidge,5 Mar 2021,
Australia,142/8,20.0,7.10,1,lost,,v New Zealand,Wellington,7 Mar 2021,
New Zealand,143/3,15.3,9.22,2,won,,v Australia,Wellington,7 Mar 2021,
Sri Lanka,131/4,20.0,6.55,1,lost,,v West Indies,Coolidge,7 Mar 2021,
West Indies,134/7,19.0,7.05,2,won,,v Sri Lanka,Coolidge,7 Mar 2021,
India,124/7,20.0,6.20,1,lost,,v England,Ahmedabad,12 Mar 2021,
England,130/2,15.3,8.38,2,won,,v India,Ahmedabad,12 Mar 2021,
England,164/6,20.0,8.20,1,lost,,v India,Ahmedabad,14 Mar 2021,
India,166/3,17.5,9.30,2,won,,v England,Ahmedabad,14 Mar 2021,
India,156/6,20.0,7.80,1,lost,,v England,Ahmedabad,16 Mar 2021,
England,158/2,18.2,8.61,2,won,,v India,Ahmedabad,16 Mar 2021,
Afghanistan,198/5,20.0,9.90,1,won,,v Zimbabwe,Abu Dhabi,17 Mar 2021,
Zimbabwe,150/7,20.0,7.50,2,lost,,v Afghanistan,Abu Dhabi,17 Mar 2021,
India,185/8,20.0,9.25,1,won,,v England,Ahmedabad,18 Mar 2021,
England,177/8,20.0,8.85,2,lost,,v India,Ahmedabad,18 Mar 2021,
Afghanistan,193/5,20.0,9.65,1,won,,v Zimbabwe,Abu Dhabi,19 Mar 2021,
Zimbabwe,148,17.1,8.62,2,lost,,v Afghanistan,Abu Dhabi,19 Mar 2021,
Afghanistan,183/7,20.0,9.15,1,won,,v Zimbabwe,Abu Dhabi,20 Mar 2021,
Zimbabwe,136/5,20.0,6.80,2,lost,,v Afghanistan,Abu Dhabi,20 Mar 2021,
India,224/2,20.0,11.20,1,won,,v England,Ahmedabad,20 Mar 2021,
England,188/8,20.0,9.40,2,lost,,v India,Ahmedabad,20 Mar 2021,
New Zealand,210/3,20.0,10.50,1,won,,v Bangladesh,Hamilton,28 Mar 2021,
Bangladesh,144/8,20.0,7.20,2,lost,,v New Zealand,Hamilton,28 Mar 2021,
New Zealand,173/5,17.5,9.70,1,won,,v Bangladesh,Napier,30 Mar 2021,
Bangladesh,142/7,16.0,8.87,2,lost,,v New Zealand,Napier,30 Mar 2021,
New Zealand,141/4,10.0,14.10,1,won,,v Bangladesh,Auckland,1 Apr 2021,
Bangladesh,76,9.3,8.00,2,lost,,v New Zealand,Auckland,1 Apr 2021,
Uganda,134/5,20.0,6.70,1,lost,,v Namibia,Windhoek,3 Apr 2021,
Namibia,135/3,14.5,9.10,2,won,,v Uganda,Windhoek,3 Apr 2021,
Namibia,134/6,20.0,6.70,1,won,,v Uganda,Windhoek,5 Apr 2021,
Uganda,65/5,12.4,5.13,2,lost,,v Namibia,Windhoek,5 Apr 2021,
Namibia,189/3,20.0,9.45,1,won,,v Uganda,Windhoek,5 Apr 2021,
Uganda,124,20.0,6.20,2,lost,,v Namibia,Windhoek,5 Apr 2021,
South Africa,188/6,20.0,9.40,1,lost,,v Pakistan,Johannesburg,10 Apr 2021,
Pakistan,189/6,19.5,9.52,2,won,,v South Africa,Johannesburg,10 Apr 2021,
Pakistan,140/9,20.0,7.00,1,lost,,v South Africa,Johannesburg,12 Apr 2021,
South Africa,141/4,14.0,10.07,2,won,,v Pakistan,Johannesburg,12 Apr 2021,
South Africa,203/5,20.0,10.15,1,lost,,v Pakistan,Centurion,14 Apr 2021,
Pakistan,205/1,18.0,11.38,2,won,,v South Africa,Centurion,14 Apr 2021,
South Africa,144,19.3,7.38,1,lost,,v Pakistan,Centurion,16 Apr 2021,
Pakistan,149/7,19.5,7.51,2,won,,v South Africa,Centurion,16 Apr 2021,
Netherlands,136/4,20.0,6.80,1,lost,,v Nepal,Kirtipur,17 Apr 2021,
Nepal,141/1,15.0,9.40,2,won,,v Netherlands,Kirtipur,17 Apr 2021,
Netherlands,191/2,20.0,9.55,1,won,,v Malaysia,Kirtipur,18 Apr 2021,
Malaysia,176/8,20.0,8.80,2,lost,,v Netherlands,Kirtipur,18 Apr 2021,
Malaysia,109,16.5,6.47,1,lost,,v Nepal,Kirtipur,19 Apr 2021,
Nepal,113/1,12.1,9.28,2,won,,v Malaysia,Kirtipur,19 Apr 2021,
Nepal,206/6,20.0,10.30,1,lost,,v Netherlands,Kirtipur,20 Apr 2021,
Netherlands,209/7,19.3,10.71,2,won,,v Nepal,Kirtipur,20 Apr 2021,
Netherlands,107/4,13.0,8.23,1,tied,,v Malaysia,Kirtipur,21 Apr 2021,
Malaysia,91/4,10.0,9.10,2,tied,,v Netherlands,Kirtipur,21 Apr 2021,
Pakistan,149/7,20.0,7.45,1,won,,v Zimbabwe,Harare,21 Apr 2021,
Zimbabwe,138/7,20.0,6.90,2,lost,,v Pakistan,Harare,21 Apr 2021,
Nepal,217/7,20.0,10.85,1,won,,v Malaysia,Kirtipur,22 Apr 2021,
Malaysia,148,19.1,7.72,2,lost,,v Nepal,Kirtipur,22 Apr 2021,
Zimbabwe,118/9,20.0,5.90,1,won,,v Pakistan,Harare,23 Apr 2021,
Pakistan,99,19.5,4.99,2,lost,,v Zimbabwe,Harare,23 Apr 2021,
Nepal,238/3,20.0,11.90,1,won,,v Netherlands,Kirtipur,24 Apr 2021,
Netherlands,96,17.2,5.53,2,lost,,v Nepal,Kirtipur,24 Apr 2021,
Pakistan,165/3,20.0,8.25,1,won,,v Zimbabwe,Harare,25 Apr 2021,
Zimbabwe,141/7,20.0,7.05,2,lost,,v Pakistan,Harare,25 Apr 2021,
Luxembourg,126/5,20.0,6.30,1,lost,,v Czech Rep.,Vinor,21 May 2021,
Czech Rep.,127/1,18.2,6.92,2,won,,v Luxembourg,Vinor,21 May 2021,
Luxembourg,143/5,20.0,7.15,1,lost,,v Austria,Vinor,21 May 2021,
Austria,59/3,7.3,7.86,2,won,,v Luxembourg,Vinor,21 May 2021,
Austria,162/6,20.0,8.10,1,won,,v Czech Rep.,Vinor,22 May 2021,
Czech Rep.,84,18.1,4.62,2,lost,,v Austria,Vinor,22 May 2021,
Czech Rep.,161/7,20.0,8.05,1,lost,,v Luxembourg,Vinor,22 May 2021,
Luxembourg,165/4,18.4,8.83,2,won,,v Czech Rep.,Vinor,22 May 2021,
Austria,179/5,20.0,8.95,1,lost,,v Luxembourg,Vinor,23 May 2021,
Luxembourg,180/5,19.4,9.15,2,won,,v Austria,Vinor,23 May 2021,
Czech Rep.,156/4,17.0,9.17,1,lost,,v Austria,Vinor,23 May 2021,
Austria,161/6,16.2,9.85,2,won,,v Czech Rep.,Vinor,23 May 2021,
Sri Lanka,129/7,20.0,6.45,1,lost,,v England,Cardiff,23 Jun 2021,
England,130/2,17.1,7.57,2,won,,v Sri Lanka,Cardiff,23 Jun 2021,
Bulgaria,208/2,20.0,10.40,1,won,,v Serbia,Sofia,24 Jun 2021,
Serbia,147/5,20.0,7.35,2,lost,,v Bulgaria,Sofia,24 Jun 2021,
Greece,157/8,20.0,7.85,1,lost,,v Romania,Sofia,24 Jun 2021,
Romania,159/7,12.5,12.38,2,won,,v Greece,Sofia,24 Jun 2021,
Sri Lanka,111/7,20.0,5.55,1,lost,,v England,Cardiff,24 Jun 2021,
England,108/5,16.1,6.68,2,won,,v Sri Lanka,Cardiff,24 Jun 2021,
Serbia,144,20.0,7.20,1,lost,,v Greece,Sofia,25 Jun 2021,
Greece,147/5,14.3,10.13,2,won,,v Serbia,Sofia,25 Jun 2021,
Bulgaria,157/8,20.0,7.85,1,lost,,v Romania,Sofia,25 Jun 2021,
Romania,161/3,14.0,11.50,2,won,,v Bulgaria,Sofia,25 Jun 2021,
Romania,191,19.2,9.87,1,won,,v Serbia,Sofia,25 Jun 2021,
Serbia,100,16.5,5.94,2,lost,,v Romania,Sofia,25 Jun 2021,
Bulgaria,197/4,20.0,9.85,1,won,,v Greece,Sofia,26 Jun 2021,
Greece,133,16.5,7.90,2,lost,,v Bulgaria,Sofia,26 Jun 2021,
Serbia,115/7,20.0,5.75,1,lost,,v Romania,Sofia,26 Jun 2021,
Romania,116/0,5.4,20.47,2,won,,v Serbia,Sofia,26 Jun 2021,
England,180/6,20.0,9.00,1,won,,v Sri Lanka,Southampton,26 Jun 2021,
Sri Lanka,91,18.5,4.83,2,lost,,v England,Southampton,26 Jun 2021,
Bulgaria,140,19.5,7.05,1,n/r,,v Greece,Sofia,26 Jun 2021,
Greece,33/2,3.5,8.60,2,n/r,,v Bulgaria,Sofia,26 Jun 2021,
South Africa,160/6,20.0,8.00,1,lost,,v West Indies,St George's,26 Jun 2021,
West Indies,161/2,15.0,10.73,2,won,,v South Africa,St George's,26 Jun 2021,
Bulgaria,115/9,20.0,5.75,1,lost,,v Romania,Sofia,27 Jun 2021,
Romania,119/3,10.2,11.51,2,won,,v Bulgaria,Sofia,27 Jun 2021,
South Africa,166/7,20.0,8.30,1,won,,v West Indies,St George's,27 Jun 2021,
West Indies,150/9,20.0,7.50,2,lost,,v South Africa,St George's,27 Jun 2021,
South Africa,167/8,20.0,8.35,1,won,,v West Indies,St George's,29 Jun 2021,
West Indies,166/7,20.0,8.30,2,lost,,v South Africa,St George's,29 Jun 2021,
West Indies,167/6,20.0,8.35,1,won,,v South Africa,St George's,1 Jul 2021,
South Africa,146/9,20.0,7.30,2,lost,,v West Indies,St George's,1 Jul 2021,
South Africa,168/4,20.0,8.40,1,won,,v West Indies,St George's,3 Jul 2021,
West Indies,143/9,20.0,7.15,2,lost,,v South Africa,St George's,3 Jul 2021,
Belgium,99,20.0,4.95,1,lost,,v Malta,Marsa,8 Jul 2021,
Malta,103/4,16.2,6.30,2,won,,v Belgium,Marsa,8 Jul 2021,
Malta,50,13.0,3.84,1,lost,,v Belgium,Marsa,8 Jul 2021,
Belgium,52/0,5.3,9.45,2,won,,v Malta,Marsa,8 Jul 2021,
Malta,114/9,20.0,5.70,1,lost,,v Belgium,Marsa,9 Jul 2021,
Belgium,115/6,18.3,6.21,2,won,,v Malta,Marsa,9 Jul 2021,
West Indies,145/6,20.0,7.25,1,won,,v Australia,Gros Islet,9 Jul 2021,
Australia,127,16.0,7.93,2,lost,,v West Indies,Gros Islet,9 Jul 2021,
Belgium,128,19.3,6.56,1,lost,,v Malta,Marsa,10 Jul 2021,
Malta,130,19.2,6.72,2,won,,v Belgium,Marsa,10 Jul 2021,
Belgium,172/6,20.0,8.60,1,won,,v Malta,Marsa,10 Jul 2021,
Malta,133,18.4,7.12,2,lost,,v Belgium,Marsa,10 Jul 2021,
West Indies,196/4,20.0,9.80,1,won,,v Australia,Gros Islet,10 Jul 2021,
Australia,140,19.2,7.24,2,lost,,v West Indies,Gros Islet,10 Jul 2021,
Australia,141/6,20.0,7.05,1,lost,,v West Indies,Gros Islet,12 Jul 2021,
West Indies,142/4,14.5,9.57,2,won,,v Australia,Gros Islet,12 Jul 2021,
Australia,189/6,20.0,9.45,1,won,,v West Indies,Gros Islet,14 Jul 2021,
West Indies,185/6,20.0,9.25,2,lost,,v Australia,Gros Islet,14 Jul 2021,
Pakistan,232/6,20.0,11.60,1,won,,v England,Nottingham,16 Jul 2021,
England,201,19.2,10.39,2,lost,,v Pakistan,Nottingham,16 Jul 2021,
West Indies,199/8,20.0,9.95,1,won,,v Australia,Gros Islet,16 Jul 2021,
Australia,183/9,20.0,9.15,2,lost,,v West Indies,Gros Islet,16 Jul 2021,
England,200,19.5,10.08,1,won,,v Pakistan,Leeds,18 Jul 2021,
Pakistan,155/9,20.0,7.75,2,lost,,v England,Leeds,18 Jul 2021,
South Africa,165/7,20.0,8.25,1,won,,v Ireland,Dublin (Malahide),19 Jul 2021,
Ireland,132/9,20.0,6.60,2,lost,,v South Africa,Dublin (Malahide),19 Jul 2021,
Pakistan,154/6,20.0,7.70,1,lost,,v England,Manchester,20 Jul 2021,
England,155/7,19.4,7.88,2,won,,v Pakistan,Manchester,20 Jul 2021,
Zimbabwe,152,19.0,8.00,1,lost,,v Bangladesh,Harare,22 Jul 2021,
Bangladesh,153/2,18.5,8.12,2,won,,v Zimbabwe,Harare,22 Jul 2021,
South Africa,159/7,20.0,7.95,1,won,,v Ireland,Belfast,22 Jul 2021,
Ireland,117,19.3,6.00,2,lost,,v South Africa,Belfast,22 Jul 2021,
Zimbabwe,166/6,20.0,8.30,1,won,,v Bangladesh,Harare,23 Jul 2021,
Bangladesh,143,19.5,7.21,2,lost,,v Zimbabwe,Harare,23 Jul 2021,
Austria,195/7,20.0,9.75,1,lost,,v Belgium,Waterloo,24 Jul 2021,
Belgium,196/3,18.0,10.88,2,won,,v Austria,Waterloo,24 Jul 2021,
Belgium,146/8,20.0,7.30,1,won,,v Austria,Waterloo,24 Jul 2021,
Austria,37/3,6.1,6.00,2,lost,,v Belgium,Waterloo,24 Jul 2021,
South Africa,189/2,20.0,9.45,1,won,,v Ireland,Belfast,24 Jul 2021,
Ireland,140/9,20.0,7.00,2,lost,,v South Africa,Belfast,24 Jul 2021,
Belgium,103/9,20.0,5.15,1,lost,,v Austria,Waterloo,25 Jul 2021,
Austria,104/4,17.2,6.00,2,won,,v Belgium,Waterloo,25 Jul 2021,
Zimbabwe,193/5,20.0,9.65,1,lost,,v Bangladesh,Harare,25 Jul 2021,
Bangladesh,194/5,19.2,10.03,2,won,,v Zimbabwe,Harare,25 Jul 2021,
India,164/5,20.0,8.20,1,won,,v Sri Lanka,Colombo (RPS),25 Jul 2021,
Sri Lanka,126,18.3,6.81,2,lost,,v India,Colombo (RPS),25 Jul 2021,
Pakistan,DNB,0.0,-,0,n/r,,v West Indies,Bridgetown,28 Jul 2021,
West Indies,85/5,9.0,9.44,1,n/r,,v Pakistan,Bridgetown,28 Jul 2021,
India,132/5,20.0,6.60,1,lost,,v Sri Lanka,Colombo (RPS),28 Jul 2021,
Sri Lanka,133/6,19.4,6.76,2,won,,v India,Colombo (RPS),28 Jul 2021,
India,81/8,20.0,4.05,1,lost,,v Sri Lanka,Colombo (RPS),29 Jul 2021,
Sri Lanka,82/3,14.3,5.65,2,won,,v India,Colombo (RPS),29 Jul 2021,
Pakistan,157/8,20.0,7.85,1,won,,v West Indies,Providence,31 Jul 2021,
West Indies,150/4,20.0,7.50,2,lost,,v Pakistan,Providence,31 Jul 2021,
Pakistan,DNB,0.0,-,0,n/r,,v West Indies,Providence,1 Aug 2021,
West Indies,15/0,1.2,11.25,1,n/r,,v Pakistan,Providence,1 Aug 2021,
Bangladesh,131/7,20.0,6.55,1,won,,v Australia,Mirpur,3 Aug 2021,
Australia,108,20.0,5.40,2,lost,,v Bangladesh,Mirpur,3 Aug 2021,
Pakistan,DNB,0.0,-,0,n/r,,v West Indies,Providence,3 Aug 2021,
West Indies,30/0,3.0,10.00,1,n/r,,v Pakistan,Providence,3 Aug 2021,
Australia,121/7,20.0,6.05,1,lost,,v Bangladesh,Mirpur,4 Aug 2021,
Bangladesh,123/5,18.4,6.58,2,won,,v Australia,Mirpur,4 Aug 2021,
Norway,76,18.4,4.07,1,lost,,v Germany,Krefeld,5 Aug 2021,
Germany,80/5,17.1,4.66,2,won,,v Norway,Krefeld,5 Aug 2021,
Norway,112/7,20.0,5.60,1,lost,,v France,Krefeld,5 Aug 2021,
France,113/6,19.3,5.79,2,won,,v Norway,Krefeld,5 Aug 2021,
France,94/9,18.0,5.22,1,lost,,v Germany,Krefeld,6 Aug 2021,
Germany,97/8,12.2,7.86,2,won,,v France,Krefeld,6 Aug 2021,
Bangladesh,127/9,20.0,6.35,1,won,,v Australia,Mirpur,6 Aug 2021,
Australia,117/4,20.0,5.85,2,lost,,v Bangladesh,Mirpur,6 Aug 2021,
Germany,164/3,20.0,8.20,1,won,,v France,Krefeld,7 Aug 2021,
France,116/8,20.0,5.80,2,lost,,v Germany,Krefeld,7 Aug 2021,
Bangladesh,104/9,20.0,5.20,1,lost,,v Australia,Mirpur,7 Aug 2021,
Australia,105/7,19.0,5.52,2,won,,v Bangladesh,Mirpur,7 Aug 2021,
Norway,131/8,20.0,6.55,1,won,,v France,Krefeld,7 Aug 2021,
France,128/8,20.0,6.40,2,lost,,v Norway,Krefeld,7 Aug 2021,
Norway,185/7,20.0,9.25,1,won,,v Germany,Krefeld,8 Aug 2021,
Germany,134/6,20.0,6.70,2,lost,,v Norway,Krefeld,8 Aug 2021,
Norway,127/8,20.0,6.35,1,lost,,v Germany,Krefeld,8 Aug 2021,
Germany,96/4,13.4,7.02,2,won,,v Norway,Krefeld,8 Aug 2021,
Bangladesh,122/8,20.0,6.10,1,won,,v Australia,Mirpur,9 Aug 2021,
Australia,62,13.4,4.53,2,lost,,v Bangladesh,Mirpur,9 Aug 2021,
Denmark,111,19.5,5.59,1,won,,v Sweden,Brondby,14 Aug 2021,
Sweden,103/6,20.0,5.15,2,lost,,v Denmark,Brondby,14 Aug 2021,
Denmark,135/4,20.0,6.75,1,lost,,v Sweden,Brondby,14 Aug 2021,
Sweden,137/7,20.0,6.85,2,won,,v Denmark,Brondby,14 Aug 2021,
Sweden,122/9,20.0,6.10,1,lost,,v Denmark,Brondby,15 Aug 2021,
Denmark,126/4,19.1,6.57,2,won,,v Sweden,Brondby,15 Aug 2021,
Ghana,164/5,20.0,8.20,1,lost,,v Rwanda,Rwanda,18 Aug 2021,
Rwanda,165/9,19.4,8.38,2,won,,v Ghana,Rwanda,18 Aug 2021,
Rwanda,139/8,20.0,6.95,1,lost,,v Ghana,Rwanda,18 Aug 2021,
Ghana,143/8,17.1,8.33,2,won,,v Rwanda,Rwanda,18 Aug 2021,
Malta,146/8,20.0,7.30,1,lost,,v Portugal,Albergaria,19 Aug 2021,
Portugal,147/4,18.1,8.09,2,won,,v Malta,Albergaria,19 Aug 2021,
Rwanda,136/8,20.0,6.80,1,won,,v Ghana,Rwanda,20 Aug 2021,
Ghana,79,15.1,5.20,2,lost,,v Rwanda,Rwanda,20 Aug 2021,
Gibraltar,148/5,20.0,7.40,1,lost,,v Malta,Albergaria,20 Aug 2021,
Malta,149/2,17.3,8.51,2,won,,v Gibraltar,Albergaria,20 Aug 2021,
Ghana,166/6,20.0,8.30,1,won,,v Rwanda,Rwanda,20 Aug 2021,
Rwanda,30/1,5.0,6.00,2,lost,,v Ghana,Rwanda,20 Aug 2021,
Sweden,135/6,19.0,7.10,1,lost,,v Finland,Kerava,21 Aug 2021,
Finland,139/6,17.5,7.79,2,won,,v Sweden,Kerava,21 Aug 2021,
Portugal,217/8,20.0,10.85,1,won,,v Gibraltar,Albergaria,21 Aug 2021,
Gibraltar,121/8,20.0,6.05,2,lost,,v Portugal,Albergaria,21 Aug 2021,
Rwanda,147/8,20.0,7.35,1,lost,,v Ghana,Rwanda,21 Aug 2021,
Ghana,148/3,18.1,8.14,2,won,,v Rwanda,Rwanda,21 Aug 2021,
Sweden,141/8,20.0,7.05,1,lost,,v Finland,Kerava,21 Aug 2021,
Finland,142/6,18.5,7.53,2,won,,v Sweden,Kerava,21 Aug 2021,
Malta,197/3,20.0,9.85,1,won,,v Gibraltar,Albergaria,21 Aug 2021,
Gibraltar,193/2,20.0,9.65,2,lost,,v Malta,Albergaria,21 Aug 2021,
Finland,141/7,20.0,7.05,1,lost,,v Sweden,Kerava,22 Aug 2021,
Sweden,113/7,14.0,8.07,2,won,,v Finland,Kerava,22 Aug 2021,
Portugal,218/6,20.0,10.90,1,won,,v Gibraltar,Albergaria,22 Aug 2021,
Gibraltar,108,18.3,5.83,2,lost,,v Portugal,Albergaria,22 Aug 2021,
Finland,145/7,20.0,7.25,1,lost,,v Sweden,Kerava,22 Aug 2021,
Sweden,146/4,17.1,8.50,2,won,,v Finland,Kerava,22 Aug 2021,
Malta,132/8,20.0,6.60,1,lost,,v Portugal,Albergaria,22 Aug 2021,
Portugal,136/7,17.5,7.62,2,won,,v Malta,Albergaria,22 Aug 2021,
Zimbabwe,117/7,20.0,5.85,1,won,,v Ireland,Dublin,27 Aug 2021,
Ireland,114/9,20.0,5.70,2,lost,,v Zimbabwe,Dublin,27 Aug 2021,
Zimbabwe,152/5,20.0,7.60,1,lost,,v Ireland,Dublin,29 Aug 2021,
Ireland,153/3,18.3,8.27,2,won,,v Zimbabwe,Dublin,29 Aug 2021,
New Zealand,60,16.5,3.56,1,lost,,v Bangladesh,Mirpur,1 Sep 2021,
Bangladesh,62/3,15.0,4.13,2,won,,v New Zealand,Mirpur,1 Sep 2021,
Ireland,178/2,20.0,8.90,1,won,,v Zimbabwe,Bready,1 Sep 2021,
Zimbabwe,138,18.2,7.52,2,lost,,v Ireland,Bready,1 Sep 2021,
Luxembourg,187/4,20.0,9.35,1,won,,v Bulgaria,Ilfov County,2 Sep 2021,
Bulgaria,125,18.4,6.69,2,lost,,v Luxembourg,Ilfov County,2 Sep 2021,
Hungary,165/6,20.0,8.25,1,won,,v Czech Rep.,Ilfov County,2 Sep 2021,
Czech Rep.,160/7,20.0,8.00,2,lost,,v Hungary,Ilfov County,2 Sep 2021,
Malta,128/9,20.0,6.40,1,lost,,v Luxembourg,Ilfov County,2 Sep 2021,
Luxembourg,131/6,19.4,6.66,2,won,,v Malta,Ilfov County,2 Sep 2021,
Ireland,174/4,20.0,8.70,1,won,,v Zimbabwe,Bready,2 Sep 2021,
Zimbabwe,110/9,20.0,5.50,2,lost,,v Ireland,Bready,2 Sep 2021,
Romania,211/8,20.0,10.55,1,won,,v Czech Rep.,Ilfov County,3 Sep 2021,
Czech Rep.,176,19.3,9.02,2,lost,,v Romania,Ilfov County,3 Sep 2021,
Bulgaria,112/9,20.0,5.60,1,lost,,v Malta,Ilfov County,3 Sep 2021,
Malta,113/3,11.4,9.68,2,won,,v Bulgaria,Ilfov County,3 Sep 2021,
Bangladesh,141/6,20.0,7.05,1,won,,v New Zealand,Mirpur,3 Sep 2021,
New Zealand,137/5,20.0,6.85,2,lost,,v Bangladesh,Mirpur,3 Sep 2021,
Romania,195/6,20.0,9.75,1,won,,v Hungary,Ilfov County,3 Sep 2021,
Hungary,187,19.5,9.42,2,lost,,v Romania,Ilfov County,3 Sep 2021,
Bulgaria,137/6,20.0,6.85,1,lost,,v Czech Rep.,Ilfov County,4 Sep 2021,
Czech Rep.,141/3,16.2,8.63,2,won,,v Bulgaria,Ilfov County,4 Sep 2021,
Luxembourg,179/6,20.0,8.95,1,won,,v Hungary,Ilfov County,4 Sep 2021,
Hungary,177/9,20.0,8.85,2,lost,,v Luxembourg,Ilfov County,4 Sep 2021,
Romania,202/8,20.0,10.10,1,won,,v Malta,Ilfov County,4 Sep 2021,
Malta,166/8,20.0,8.30,2,lost,,v Romania,Ilfov County,4 Sep 2021,
Zimbabwe,124/4,20.0,6.20,1,won,,v Ireland,Bready,4 Sep 2021,
Ireland,119,20.0,5.95,2,lost,,v Zimbabwe,Bready,4 Sep 2021,
Romania,156,19.5,7.86,1,won,,v Luxembourg,Ilfov County,5 Sep 2021,
Luxembourg,123/9,20.0,6.15,2,lost,,v Romania,Ilfov County,5 Sep 2021,
New Zealand,128/5,20.0,6.40,1,won,,v Bangladesh,Mirpur,5 Sep 2021,
Bangladesh,76,19.4,3.86,2,lost,,v New Zealand,Mirpur,5 Sep 2021,
Malta,170/5,20.0,8.50,1,lost,,v Hungary,Ilfov County,5 Sep 2021,
Hungary,171/2,18.2,9.32,2,won,,v Malta,Ilfov County,5 Sep 2021,
New Zealand,93,19.3,4.76,1,lost,,v Bangladesh,Mirpur,8 Sep 2021,
Bangladesh,96/4,19.1,5.00,2,won,,v New Zealand,Mirpur,8 Sep 2021,
Uganda,DNB,0.0,-,0,n/r,,v Kenya,Entebbe,10 Sep 2021,
Kenya,DNB,0.0,-,0,n/r,,v Uganda,Entebbe,10 Sep 2021,
Spain,128/7,20.0,6.40,1,lost,,v Germany,Almeria,10 Sep 2021,
Germany,132/3,18.1,7.26,2,won,,v Spain,Almeria,10 Sep 2021,
New Zealand,161/5,20.0,8.05,1,won,,v Bangladesh,Mirpur,10 Sep 2021,
Bangladesh,134/8,20.0,6.70,2,lost,,v New Zealand,Mirpur,10 Sep 2021,
Kenya,151/9,20.0,7.55,1,won,,v Uganda,Entebbe,10 Sep 2021,
Uganda,129,19.0,6.78,2,lost,,v Kenya,Entebbe,10 Sep 2021,
South Africa,163/5,20.0,8.15,1,won,,v Sri Lanka,Colombo (RPS),10 Sep 2021,
Sri Lanka,135/6,20.0,6.75,2,lost,,v South Africa,Colombo (RPS),10 Sep 2021,
Nigeria,107/8,20.0,5.35,1,lost,,v Kenya,Entebbe,11 Sep 2021,
Kenya,108/2,11.5,9.12,2,won,,v Nigeria,Entebbe,11 Sep 2021,
Germany,115/9,20.0,5.75,1,lost,,v Spain,Almeria,11 Sep 2021,
Spain,116/5,18.1,6.38,2,won,,v Germany,Almeria,11 Sep 2021,
Uganda,152/4,20.0,7.60,1,won,,v Nigeria,Entebbe,11 Sep 2021,
Nigeria,96/6,20.0,4.80,2,lost,,v Uganda,Entebbe,11 Sep 2021,
Germany,119/9,20.0,5.95,1,lost,,v Spain,Almeria,11 Sep 2021,
Spain,120/9,19.4,6.10,2,won,,v Germany,Almeria,11 Sep 2021,
Sri Lanka,103,18.1,5.66,1,lost,,v South Africa,Colombo (RPS),12 Sep 2021,
South Africa,105/1,14.1,7.41,2,won,,v Sri Lanka,Colombo (RPS),12 Sep 2021,
Nigeria,123/8,20.0,6.15,1,lost,,v Uganda,Entebbe,13 Sep 2021,
Uganda,124/2,17.0,7.29,2,won,,v Nigeria,Entebbe,13 Sep 2021,
Kenya,162/5,20.0,8.10,1,won,,v Nigeria,Entebbe,13 Sep 2021,
Nigeria,101/7,20.0,5.05,2,lost,,v Kenya,Entebbe,13 Sep 2021,
Sri Lanka,120/8,20.0,6.00,1,lost,,v South Africa,Colombo (RPS),14 Sep 2021,
South Africa,121/0,14.4,8.25,2,won,,v Sri Lanka,Colombo (RPS),14 Sep 2021,
Kenya,123,20.0,6.15,1,lost,,v Uganda,Entebbe,15 Sep 2021,
Uganda,126/6,19.2,6.51,2,won,,v Kenya,Entebbe,15 Sep 2021,
Uganda,172/6,20.0,8.60,1,won,,v Nigeria,Entebbe,15 Sep 2021,
Nigeria,117/7,20.0,5.85,2,lost,,v Uganda,Entebbe,15 Sep 2021,
